,selector,experiment,model,r2,rmse,adj_r2,rse,best_params
0,logsum,baseline,LinearRegression,-8539.17582121441,169.36192470902915,-11475.26995882947,196.35619557372337,
1,logsum,baseline,Lasso,0.298373454812797,1.5350954359818985,0.0571557528303665,1.7797713398088346,
2,logsum,baseline,RandomForest,0.2544980719938861,1.5823653346101714,-0.0018038925350152,1.8345754965031429,
3,logsum,baseline,LightGBM,0.2875546142569325,1.5468854826488494,0.0426174180864598,1.793440579297796,
4,logsum,optuna,Lasso,0.2990194174717782,1.5343886193159846,0.0580237960665931,1.7789518649963856,{'alpha': 0.001964215267886893}
5,logsum,optuna,RandomForest,0.2898075469997505,1.5444377241792646,0.0456449042760813,1.7906026773219137,"{'n_estimators': 279, 'max_depth': 16, 'min_samples_split': 4}"
6,logsum,optuna,LightGBM,0.2994483743912797,1.5339190718312894,0.0586002274553567,1.778407477242796,"{'num_leaves': 26, 'learning_rate': 0.02616196012401816, 'n_estimators': 277, 'max_depth': 23}"
7,shap,baseline,LinearRegression,0.2765987317001761,1.5587339963584796,0.2745318709336052,1.5611815139546723,
8,shap,baseline,Lasso,0.2732740108347249,1.5623118271158,0.2711976508656812,1.5647649626068707,
9,shap,baseline,RandomForest,0.2300784242577915,1.608072480362675,0.2278786483270994,1.6105974690399192,
10,shap,baseline,LightGBM,0.2747454521016617,1.5607293772244435,0.2726732962505236,1.563180027959319,
11,shap,optuna,Lasso,0.2766823634040375,1.5586438919077426,0.2746157415851918,1.5610912680223037,{'alpha': 0.00011659114744959731}
12,shap,optuna,RandomForest,0.2757170175929347,1.559683634745184,0.2736476376432003,1.562132643459596,"{'n_estimators': 257, 'max_depth': 17, 'min_samples_split': 9}"
13,shap,optuna,LightGBM,0.2858708034821879,1.5487123772644649,0.2838304343492799,1.5511441589563066,"{'num_leaves': 53, 'learning_rate': 0.1271354528366552, 'n_estimators': 153, 'max_depth': 3}"
14,no_selection,baseline,LinerRegression,0.037778,1.797711,-0.388162,2.159555,
15,no_selection,baseline,Lasso,0.298314,1.53516,-0.012296,1.844158,
16,no_selection,baseline,RandomForest,0.261876,1.574516,-0.064864,1.891435,
17,no_selection,baseline,LightGBM,0.282033,1.552868,-0.035785,1.86543,
