selector,experiment,model,r2,rmse,adj_r2,rse,best_params
logsum,baseline,LinearRegression,-8539.17582121441,169.36192470902915,-11475.26995882947,196.35619557372337,
logsum,baseline,Lasso,0.298373454812797,1.5350954359818985,0.05715575283036656,1.7797713398088346,
logsum,baseline,RandomForest,0.2544980719938861,1.5823653346101714,-0.001803892535015228,1.8345754965031429,
logsum,baseline,LightGBM,0.2875546142569325,1.5468854826488494,0.0426174180864598,1.7934405792977959,
logsum,optuna,Lasso,0.2990194174717782,1.5343886193159846,0.058023796066593136,1.7789518649963856,{'alpha': 0.001964215267886893}
logsum,optuna,RandomForest,0.28980754699975053,1.5444377241792646,0.045644904276081366,1.7906026773219135,"{'n_estimators': 279, 'max_depth': 16, 'min_samples_split': 4}"
logsum,optuna,LightGBM,0.2994483743912797,1.5339190718312894,0.05860022745535676,1.778407477242796,"{'num_leaves': 26, 'learning_rate': 0.02616196012401816, 'n_estimators': 277, 'max_depth': 23}"
shap,baseline,LinearRegression,0.2765987317001761,1.5587339963584796,0.2745318709336052,1.5611815139546723,
shap,baseline,Lasso,0.2732740108347249,1.5623118271157999,0.27119765086568126,1.5647649626068707,
shap,baseline,RandomForest,0.23007842425779157,1.608072480362675,0.22787864832709948,1.6105974690399192,
shap,baseline,LightGBM,0.2747454521016617,1.5607293772244435,0.2726732962505236,1.5631800279593193,
shap,optuna,Lasso,0.2766823634040375,1.5586438919077426,0.27461574158519186,1.5610912680223037,{'alpha': 0.00011659114744959731}
shap,optuna,RandomForest,0.27571701759293477,1.559683634745184,0.2736476376432003,1.5621326434595961,"{'n_estimators': 257, 'max_depth': 17, 'min_samples_split': 9}"
shap,optuna,LightGBM,0.28587080348218796,1.5487123772644649,0.2838304343492799,1.5511441589563066,"{'num_leaves': 53, 'learning_rate': 0.1271354528366552, 'n_estimators': 153, 'max_depth': 3}"
