,0
SLogP,0.1767678638557606
ETA_dEpsilon_D,0.02916353396357125
PEOE_VSA6,0.028261250573953164
ATSC6are,0.027144969643251287
FilterItLogS,0.025618262109131668
AMID_C,0.02489996828176236
SMR_VSA4,0.023784134041097194
AATSC1p,0.023601548897120163
ATSC2d,0.023199523637950494
ZMIC2,0.021755081437294918
ATSC3i,0.01868072007812784
ATSC0p,0.01769399102896302
AATSC1s,0.017590818751517814
ATSC6se,0.01717599950318638
SlogP_VSA2,0.016073782851122022
ATSC5i,0.015911287391613387
VSA_EState4,0.01566265055059933
ATSC5dv,0.014937892080300545
ETA_alpha,0.014926496975458047
MATS1dv,0.013904474241319277
AXp-0d,0.013730049602038058
AATSC2d,0.013593285833189757
mZagreb1,0.012974145028819984
IC1,0.01296190277407666
ZMIC5,0.012924595048212627
JGI7,0.012664285320901907
ATSC8p,0.012495612888042408
JGI6,0.01249180349712405
ATSC3d,0.012138353081397907
GATS1Z,0.011986883965821687
Kier1,0.011942803911022927
ATSC1are,0.011508455869185669
ATSC6i,0.011343346932280748
ATSC2dv,0.01126593315540874
JGI1,0.011174708401848452
MWC03,0.0110238093867286
AATSC1d,0.0107662254128438
ATSC8i,0.010456871072617236
BCUTi-1h,0.010356539167824383
ATSC1dv,0.01031962960706251
ATSC7s,0.010166428702986001
AATSC0i,0.010128836940005213
SsNH2,0.010112284696480175
JGI5,0.009997894555425582
AATSC0se,0.009931758900864745
ATSC8se,0.009718094204329003
SaasC,0.009687824492675065
AATSC2i,0.00966052278552294
ATSC3v,0.00952311753332976
GATS1s,0.009501943954826416
ZMIC1,0.009481880066511484
SMR_VSA6,0.009255894993459676
ATSC4dv,0.009152441688926271
SIC2,0.009121323015457972
ATSC4i,0.009114410341862385
GATS2are,0.008832486619953932
SlogP_VSA8,0.008783430154588722
ATSC4p,0.00878145274133937
MATS1i,0.008673997102009008
IC0,0.008603160781500616
PEOE_VSA7,0.008589486093928305
ATSC5se,0.008535556925472873
AATSC2dv,0.008222524509246796
EState_VSA3,0.008107229790261534
SpMAD_Dzi,0.008095871802145979
AMID_O,0.008078989570686576
ATSC7p,0.008050381613336129
EState_VSA8,0.008039049238784056
ATSC5m,0.008019840086355508
ETA_psi_1,0.008017107593600538
MID_N,0.00795634666074731
SaasN,0.007940793824266067
GATS2s,0.00790554368440527
ATSC3p,0.007896644584268931
ATSC8v,0.007827266240234386
ATSC7d,0.007817203624225328
ATS0are,0.0077990435612259644
ATSC6Z,0.00774700301865784
JGI4,0.007673342050868524
ATSC4s,0.00766428830499004
AATS2dv,0.007603941557294165
AATS0i,0.007499546207699505
ATSC7Z,0.00745732225437645
ATSC7m,0.007435644208287584
EState_VSA2,0.007430297842467997
ATSC6pe,0.00741365459917261
ATSC5Z,0.007403354426898537
Xp-2dv,0.007383190742392383
MATS1p,0.007350273864533237
AMID,0.0072992931242933665
ATSC5v,0.007273284892527485
SdssC,0.0072032105238720905
ATSC5p,0.007192565662801455
EState_VSA6,0.007106820755155265
ATSC6dv,0.0070561611368244416
Mpe,0.0070254504751649325
ATSC4v,0.006986329331509505
Xp-1dv,0.006963795755937601
ATS7pe,0.006875222395967656
IC2,0.006834040313907233
SpMax_D,0.006780572533389832
PEOE_VSA12,0.006754302163248721
ATSC3are,0.006740744414331249
TopoPSA,0.006695635519154936
MID_C,0.006682626763854454
ATSC5s,0.00667097952524756
BCUTi-1l,0.006581217285666414
ATSC0i,0.006553045937179819
AETA_alpha,0.006522477682101629
JGI2,0.006473705893958402
SpMAD_Dzv,0.0064424424479980116
ATS5s,0.006428229171342034
ATS1p,0.006419209164557325
ATSC7i,0.006241556732164635
AATS1v,0.0061451469997263145
BCUTd-1l,0.006075171788669062
AMID_N,0.006043103992318675
ATSC3dv,0.0060207802885897214
GATS2m,0.00599512309372974
SpMAD_Dzpe,0.005951096178046289
ATSC6d,0.005935927046847066
GATS1p,0.005935041838212836
ATSC6v,0.005929358983912489
ATS3i,0.005909086322112488
ATS8se,0.005899829847443612
ATSC5are,0.0058031364444163834
MATS2i,0.00575994740356021
MIC1,0.0057542062734933655
ATS7Z,0.005680433678712801
JGI9,0.005670015936432026
nHRing,0.005666516471417694
Xch-7dv,0.005650243154713382
AATSC0are,0.0056296397407874735
SMR_VSA7,0.005608790899029667
ATSC7se,0.005599790555288729
ATSC4pe,0.0055902928987360285
GATS2v,0.005587653567720948
Xpc-6d,0.005550889232222418
ATSC2p,0.005544324237395083
SpMAD_Dzse,0.005518189590379748
AATSC1are,0.005517919565569928
VSA_EState5,0.005511562273831194
AATS1p,0.005492323343435808
BCUTv-1h,0.0054824274941021
SIC3,0.005480274609737343
AETA_eta,0.005354912494158948
MATS2dv,0.005337297182194485
ATSC5pe,0.005335932020006839
AATS1s,0.005331411141063306
TIC3,0.005326001905963725
AATSC1v,0.005308988237778565
VSA_EState7,0.005305932513194485
BCUTm-1l,0.005292718143942065
ATS3d,0.005228405248117017
GATS1pe,0.005169997309779762
ATSC6p,0.005137082685696134
AATSC0d,0.005097369359515569
SRW08,0.005091096794279647
RotRatio,0.005086897964586537
ATS6se,0.005064095480369857
AETA_beta_s,0.0050389525347909634
VE1_A,0.005022935505317652
AETA_beta_ns_d,0.005016068192441964
JGI3,0.004991390505528051
ZMIC4,0.004983556183452741
Xp-7dv,0.004983128365398916
ATSC7are,0.004959412609618439
MATS1pe,0.004944267003397273
nBase,0.004936161421940146
GATS2p,0.004925576332558486
ATSC5d,0.0048839293344171385
GATS1are,0.00487522125578354
ETA_epsilon_5,0.004858148199816665
GATS2se,0.0048530101665097795
ATSC2m,0.004837037874347099
ATS0dv,0.004823286275224156
GATS1v,0.004804571357674595
AMID_h,0.004772942048154377
GATS1i,0.0047451992988534406
SsCH3,0.004710556176000681
piPC6,0.004639297367896489
piPC2,0.004601635092124348
ATS8m,0.0045811565536344094
AATS0d,0.0045606016308644285
AATS1pe,0.004547747499721811
ATSC4d,0.00447473523847446
ATS6v,0.004454237745011306
VSA_EState6,0.004452925690623795
SpMAD_D,0.004446338996163035
TIC2,0.00440236738881574
SpMAD_Dzm,0.004399352236990466
ATSC4m,0.004396501591436551
BCUTZ-1l,0.004395164780886696
ATS3s,0.0043887494891227735
ATSC8d,0.00436855049089881
VR2_A,0.004277015421630746
ATS7se,0.00427285069995881
Xp-5d,0.004265593358381503
AATSC2m,0.004255943500724093
ATSC8dv,0.004239887254163591
ATS6dv,0.00423765785335601
ATSC4se,0.004235299710114468
ETA_epsilon_4,0.004153176048303246
Xc-3dv,0.004134066544695108
GATS2i,0.004119274443062347
ZMIC3,0.004087714564426176
MATS2v,0.004061675913858629
ATSC1p,0.004056735294231365
ATS4m,0.0040162006897291646
ATSC0dv,0.004005695233980468
fMF,0.003988968661346244
ATSC7dv,0.003982977987192
Xch-7d,0.003967436411563359
SIC1,0.003958566224091298
SdsCH,0.003941839450078221
BIC5,0.003931409783652341
EState_VSA5,0.003930515447852408
ETA_shape_y,0.0038806179007632533
ATSC7v,0.0038796723734251847
ATSC3s,0.0038745914031583797
ATS8v,0.0038634974642643327
PEOE_VSA4,0.0038586830744312735
SpMAD_A,0.003829505524159272
ETA_dPsi_A,0.0038134390185713424
ATS5m,0.0038127176525528947
MID_h,0.0037851972820550747
AATS0v,0.003781634335257924
JGI10,0.0037568575733505642
ZMIC0,0.003752067344168204
AATS2i,0.0037519897140397608
MATS1se,0.003742468150014142
GATS2dv,0.003701015864352975
SRW10,0.0036973814554799255
ATS1se,0.003686824692179996
ATS6i,0.0036798601101499717
AATS2are,0.0036774199674354615
BertzCT,0.0036770737868408016
MPC8,0.0036725221997589244
AATS2p,0.0036713262356923558
AATSC0v,0.0036433142049642087
MATS1are,0.003642511351700603
JGT10,0.0036157175610938876
AATSC1dv,0.0036131996690476416
SIC0,0.003608507992708795
EState_VSA7,0.0035909305669840205
SssNH,0.0035849113864839938
ATSC3m,0.003583513466853505
AATS2se,0.0035763718715573624
ATS2m,0.0035754492631226804
ATSC1i,0.003572922682030102
GATS1dv,0.0035643873333461537
AATS1i,0.003559559169892572
ATSC0m,0.0035552154896350036
ATS7s,0.003524032135147347
Xch-5d,0.003512647209619031
AXp-1d,0.003491553405909838
MWC07,0.0034780746731879033
AATS0Z,0.0034657133579510543
ATS3m,0.003436744527506684
AETA_beta,0.0033936012059668573
ETA_beta,0.0033905059904968788
ATS3p,0.003389432857737036
BalabanJ,0.0033759615289880476
MATS2Z,0.003360154810028338
PEOE_VSA8,0.0033535017460281143
PEOE_VSA10,0.0033466117191320896
ETA_shape_p,0.00333931751772801
BIC2,0.0033229311942055786
PEOE_VSA1,0.0033197921499791665
ATSC1se,0.0033158705856008008
BCUTdv-1l,0.0033010427029011133
GATS2pe,0.003296670531822691
ATSC1d,0.003273645527375535
GGI3,0.003249587078586408
VSA_EState1,0.003194847163935261
SaaNH,0.003188914764272643
SlogP_VSA5,0.00316022526005746
ATS0Z,0.0031198639200351866
SpMAD_Dzp,0.0030934242529072863
SlogP_VSA4,0.0030836227601033998
BIC3,0.003072667704709311
CIC5,0.0030703948360639864
ATSC1Z,0.003057296275018472
ATSC6s,0.0030436192106608386
GGI5,0.0030152286925670757
SsssCH,0.0029969245753542553
ATS8p,0.002985045907122387
PEOE_VSA9,0.0029802533262351253
VSA_EState2,0.002967055648163062
AATS1d,0.0029515397174132815
JGI8,0.0029464154145457874
NdssC,0.002945226758672887
SMR_VSA5,0.0029362482434974278
AXp-1dv,0.002931220236412496
EState_VSA4,0.002920954229650261
SsOH,0.002911178221139393
AATSC2Z,0.0029063886811810822
ATS7v,0.002872213261185002
TIC5,0.00286345066775819
MATS2s,0.002822789220664143
MATS1v,0.002811997954516363
ATSC2v,0.002809385078459045
AATSC1se,0.0027837524446328397
CIC3,0.0027792230674290107
ATS4Z,0.0027674446345790087
SM1_Dzv,0.002763580685734155
Mv,0.002762422630699981
ATSC3Z,0.0027610548616048072
MIC3,0.002760031883972483
BCUTpe-1l,0.00275542642908518
SlogP_VSA3,0.002742667805767786
VSA_EState3,0.002718540182474641
Spe,0.002715840854688548
Mi,0.002713669434133783
VR3_A,0.002701262811772155
ATSC2i,0.0026966283813512283
SIC5,0.002695238997926048
MIC2,0.0026910374976508262
SlogP_VSA6,0.002680185162373585
Xc-3d,0.002672292092963534
ATS1s,0.002646628930254285
C2SP3,0.002618595868862833
EState_VSA9,0.0026033649556692824
AATS1Z,0.0025911360376409944
CIC4,0.0025779846359861233
