,0
SLogP,0.17498283761824882
FilterItLogS,0.038684137640034144
ATSC6se,0.026750448387510124
ETA_dEpsilon_D,0.025044904509827985
SMR_VSA4,0.022674434648296413
AATSC2d,0.022060734743543406
PEOE_VSA6,0.020593767457801
ATSC6are,0.01856405734998297
BCUTi-1h,0.018068089439868668
ATSC3i,0.01740717023563667
AATSC1p,0.01724680970643017
JGI6,0.01715253192890508
MATS1dv,0.01709868472101144
ATSC2d,0.01675092318684016
ATSC8p,0.0164588050509203
ATSC5i,0.01624637501070915
ATSC5dv,0.01612609714016896
AATSC0i,0.015382317804818135
AMID_C,0.014483942837634016
Xp-2dv,0.014147056612916084
JGI7,0.013502299759162664
ZMIC2,0.013442215099843554
VSA_EState4,0.013102898076429406
ATSC0p,0.012506028141717598
EState_VSA10,0.01249910575583181
ATSC7s,0.01232799622948622
GATS1Z,0.0121809547079282
ATSC3p,0.012139676237573945
MID_N,0.012080270400202807
SlogP_VSA2,0.012048685532827575
ATSC7p,0.012009207543627137
ATSC6pe,0.011800471562808341
ATSC3d,0.011759089930573485
ATSC7i,0.011300206176231162
SMR_VSA6,0.011206615200534543
AATSC1s,0.011121888891972333
AMID,0.010926747638826692
ETA_alpha,0.010814382471154354
ATSC6dv,0.010584097813008442
AATSC2i,0.010558651725623334
ATSC4dv,0.010366888316201398
AXp-0d,0.010230595392550713
AATS0dv,0.010046910423427572
ATSC6i,0.00998678738803001
ATS0are,0.009857656444103545
ATSC5Z,0.009806803251639818
SsNH2,0.009800427434086045
ATSC4i,0.009641545676857103
EState_VSA3,0.009589819395131953
IC1,0.009522491034012686
ATSC6d,0.009515912133057825
EState_VSA2,0.009411059912791614
ATSC3are,0.009409196566896929
ATSC7se,0.009371436110327386
BIC2,0.009368615305783713
ATSC8v,0.00932437339993508
ATSC7Z,0.009292072956872245
Xp-4d,0.00922370723111637
AATSC1v,0.009223450895883485
AATSC1are,0.009159248930299733
EState_VSA8,0.009067570559900082
MATS1i,0.008958933066146415
AATS0s,0.008776833313425346
JGI1,0.008707201560341004
JGI5,0.008639224007100701
SIC3,0.00855718313762437
VSA_EState5,0.008516104312887003
AMID_N,0.008428481063660474
AATSC2m,0.008162155220280244
ATS5s,0.008159819048638968
PEOE_VSA7,0.008104398556491204
ATSC4p,0.00799374851869792
ATSC5se,0.007927753793008103
AATS1v,0.007914499121503457
ATSC8se,0.0076839622654623725
ATSC2dv,0.0076502673151318925
ETA_dEpsilon_B,0.00759885689948144
SaasN,0.007572777653212897
ATSC4se,0.007501516655282774
IC0,0.0073481001697739655
AATSC2dv,0.007288256117562324
ATSC7pe,0.007219703390408085
MATS1se,0.0071843847644973095
AATS1dv,0.007167344017657252
AATSC2pe,0.0071514548136474565
GATS2v,0.007093957970403822
TIC2,0.007006604344345206
Xp-6d,0.006990382630510768
AATS1p,0.006957208438180903
VSA_EState3,0.0069210620074547586
AATS1s,0.006874579283156793
GATS2Z,0.006713122549647373
ATS5dv,0.006672866325642385
AATSC1d,0.006664397192681573
ATSC5s,0.0066279479958071775
GATS2i,0.006582679544736905
ATSC8i,0.006573995714590409
ATSC3v,0.006489878814893103
AATSC0d,0.006472225717735463
SdssC,0.00641134669489727
ATS1p,0.006368200718796593
ATSC3dv,0.006366960793761301
BalabanJ,0.006363549322787928
ATSC1d,0.00630547993269045
ATSC5d,0.006300466540274133
mZagreb1,0.0062812223444762665
ZMIC0,0.00626386906483308
nHRing,0.006243301580040149
SsOH,0.006230057426583039
BCUTi-1l,0.006193489029913464
ATSC4v,0.006137194671018204
ATSC5p,0.00611186960264948
IC2,0.006085564468598896
ATSC7dv,0.006058724743772608
BCUTdv-1h,0.006042626606389568
JGI9,0.006004445992333206
GGI6,0.0059839984448373925
PEOE_VSA4,0.005904289912801123
SIC2,0.005895175926353395
MATS2Z,0.005866136090524734
ATSC1are,0.005858487353329083
ATSC1dv,0.005855890678882702
ATS8se,0.0058476817598588785
BCUTm-1l,0.0058413931598441165
MIC1,0.00579778153182374
EState_VSA9,0.005778064222610698
MATS2i,0.005761872345614388
ATS0pe,0.005738999090841649
ATS7pe,0.005676685972772322
ZMIC4,0.005673154977225118
ATSC0i,0.005657493848290148
SpMAD_Dzi,0.005642514794639479
GATS1p,0.0056167797340904236
ATS6Z,0.005585486974418916
ATSC7m,0.005583732261184369
EState_VSA6,0.0055230206487840786
BCUTd-1h,0.005420090622290141
ATSC4s,0.00540113150197402
ZMIC1,0.005384532990633097
ATSC6Z,0.0053417589350984425
ETA_epsilon_5,0.00533987964477168
SpMAD_A,0.0053297367819130055
GATS2s,0.0052988828531453595
ATSC7d,0.0052916796610468
ATSC1p,0.0052833915430163724
SaasC,0.005241168373211746
ATS6s,0.005130287721244222
